nama wisata,alamat,kabupaten,provinsi,harga_rp,kategori_harga,url_harga
Permandian Sulembe,"M2MJ+CMM, Unnamed Road, Watu Mutaha, Kec. Ngapa, Kabupaten Kolaka Utara, Sulawesi Tenggara 93958, Indonesia",Kabupaten Kolaka Utara,Sulawesi Tenggara,25000.0,Mahal,https://renangloka.com/pool/permandian-alam-lewaja/
Wisata Pantai Konawe Timur Tanjung Lalimbue,"4GJ5+967, Lalimbue, Kabupaten Konawe",Kabupaten Konawe,Sulawesi Tenggara,0.0,Gratis,https://travel.tribunnews.com/destinasi/141416/harga-tiket-paddle-board-di-pantai-anggalo-konawe-untuk-liburan-akhir-tahun
Air Terjun Bantimurungnge,"3RM9+8X5, Pattiro Deceng, Kec. Camba, Kabupaten Maros, Sulawesi Selatan 90562, Indonesia",Kabupaten Maros,Sulawesi Selatan,30000.0,Mahal,https://travel.kompas.com/read/2023/03/03/070000527/air-terjun-bantimurung-di-sulawesi-selatan--tiket-masuk-dan-aktivitas
Pantai atapange,"GHGX+PP2, Lalolang, Kec. Tanete Rilau, Kabupaten Barru, Sulawesi Selatan 90761, Indonesia",Kabupaten Barru,Sulawesi Selatan,5000.0,Murah,https://travel.tribunnews.com/2025/08/13/harga-tiket-masuk-pantai-ujung-batu-di-barru-sulawesi-selatan-panduan-rute-dari-makassar
Bukit Nanas Bette,"CM2W+47, Jangan-Jangan, Kec. Pujananting, Kabupaten Barru, Sulawesi Selatan, Indonesia",Kabupaten Barru,Sulawesi Selatan,0.0,Gratis,https://www.detik.com/sulsel/wisata/d-6515417/padang-indah-barru-menikmati-hamparan-bukit-hijau-yang-mempesona
Tugu tongku Tambee desa Landangi,"G4HG+HR, Matano, Kec. Nuha, Kabupaten Luwu Timur, Sulawesi Selatan 92983, Indonesia",Kabupaten Luwu Timur,Sulawesi Selatan,5000.0,Murah,https://travel.tribunnews.com/2025/08/13/harga-tiket-masuk-pantai-ujung-batu-di-barru-sulawesi-selatan-panduan-rute-dari-makassar
Humusu Beach,"GJW5+2WP, Kulur II, Kec. Tabukan Tengah, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Sangihe,Sulawesi Utara,5000.0,Murah,https://travel.tribunnews.com/2025/02/05/healing-ke-pantai-lakban-di-minahasa-tenggara-sulawesi-utara-tiket-masuk-cuma-rp-5-ribu
BATU SENGGELOHE,"Unnamed Road, GF2P+R7R, Kec. Manganitu, Kabupaten Kepulauan Sangihe, Sulawesi Utara, Indonesia",Kabupaten Kepulauan Sangihe,Sulawesi Utara,-,-,-
Desa Wisata Towale 2019,"7MFJ+H59, Ampera - Surumana, Towale, Kec. Banawa Tengah, Kabupaten Donggala, Sulawesi Tengah 94351, Indonesia",Kabupaten Donggala,Sulawesi Tengah,0,Gratis,https://sulsel.idntimes.com/travel/destination/tempat-liburan-favorit-di-sulteng-ini-5-wisata-pantai-di-donggala-01-th4zz-44qgdy
Pasir putih/ Sivalenta bose,"RRM3+9G5, Lende, Kec. Sirenja, Kabupaten Donggala, Sulawesi Tengah, Indonesia",Kabupaten Donggala,Sulawesi Tengah,5000.0,Murah,https://newsmaker.tribunnews.com/2025/04/12/cuma-39-menit-dari-donggala-sulteng-ada-wisata-pantai-view-laut-gunung-sunset-tiket-rp-5-ribu
Pantai Matano,"FX7C+27, Matano, Kec. Bungku Tengah, Kabupaten Morowali, Sulawesi Tengah, Indonesia",Kabupaten Morowali,Sulawesi Tengah,-,-,-
