[INPUT]  D:\semester6\mc_learning\scrapt_wisata\image\..\hasil_scrap\wisata_sulawesi_cleaned_final.csv (2708 baris)
[ 2695] CARI: Pantai paranti Tabang | Kepulauan Talaud -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2DHLYZnlNGbc-j-teofZuztqkvwdnX...
[ 2696] CARI: Pantai Pompole Tosale | Donggala -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGT-Q3vxdVPwOcxecjRpDOvQlBgfsEjt...
[ 2697] CARI: Bukit Eksis Matolele | Parigi Moutong -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFw9GAk_-jenl64r8ks5xd_x_HuRWjuO...
[ 2698] CARI: Tempat santai | Morowali -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAHljbhfO767aBLf0X9CMhibSzyfSdXGc...
[ 2699] CARI: Goa desa topogaro | Morowali -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAF8slobWIfNM1W_iJsMFcWRw_Tg1u_jl...
[ 2700] CARI: Tugu Lingkaran Hati Emas | Sulawesi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFsAEwqyXA1NiL-xEbZ5PP3nxX9aH_jK...
[ 2701] CARI: Pantai Ilodulunga | Gorontalo Utara -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGa0AKENeIp075LAbnmXTTHDtdTJSt5b...
    [SAVE] auto-save (50 baris diproses, 50 OK)
[ 2702] CARI: Wisata Paccumikang | Jeneponto -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLbf6RE_h0LUSZpDl0QOs4YFml_9TJ-...
[ 2703] CARI: Air Terjun Galung Paleng | Jeneponto -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIddvUbNeQ1y5cSMwyZ_axAA5qp8Xi9...
[ 2704] CARI: Air terjun salubi | Sigi -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJvsECPRLHjKnJQFeGedboDq6c3q9bw...
[ 2705] CARI: Air terjun penonoan | Mamuju -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXsQirRf-T8rqx968WfHoQDYe4qegKE...
[ 2706] CARI: Buttu Lamba | Polewali Mandar -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfFzfcv8auCb58MJC4fxP2f9RzcfGib...
[ 2707] CARI: Pantai Tambu | Donggala -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxttZbFPWlLFKYZbyXrKsdU_UVYOtsm...
[ 2708] CARI: Gua Jepang Tikala Kumaraka | Manado -> OK  https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCB5JLAuyLWcBrza0zFF2E81vqb9mgN...

============================================================
  SELESAI!
  File      : D:\semester6\mc_learning\scrapt_wisata\image\scrap_image.csv
  Berhasil  : 57
  Gagal     : 0
  Dilewati  : 2651
  Diproses  : 57
============================================================
