nama wisata,lokasi,kabupaten,provinsi,url_image
Torosiaje,"FCFQ+Q78, Torosiaje, Kabupaten Pohuwato, Gorontalo, Indonesia",Kabupaten Pohuwato,Gorontalo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0UE9m6z-syHYPHBbZ0BQ-TIGPOt5lf7emf53GvZ6I64TOPdgY58BoEu7N8R4LiNlK2urM9T03nGnK2ofCCgmYrZ-54WTERb2mMET8rE69vyx17WQBifQ4JCGTbxO-jmCSZFehZw=w1200-h800-k-no
Air Terjun Kandawu Ndawuna,"Waondo Wolio, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755, Indonesia",Kabupaten Buton,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFo6KamdVLTAhqJzcKK0XHj-GD1D0M_-jjp9AxXu3z4eDPfmpkvZO_FjCq_siiL5S3KAc7-tXxk91vznqyQDGUQqDidk6cA05uaC7SjOslPllUOxjKWfkT2XzGhk8lZgO3tp0RD=w1200-h800-k-no
D'Marantale,"93J6+3X, Marantale, Kec. Siniu, Kabupaten Parigi Moutong, Sulawesi Tengah, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6_NMG-dth_dvkGJ7-Bk8S1nwHuBlkbB1NjcFbgq1UhV4nrlrVHvMsHP4ZzlbbthuVW17hbtWmT0GT0keGoyxnB1IAHJmIEjVsnIYaHq16md6dLiaX2nfX5gsnmEcOwX4XYMRHkLIzr-ME=w1200-h800-k-no
Air Terjun Sarambu Salu,"Lembang Salu, Salu, Kec. Sopai, Kabupaten Toraja Utara, Sulawesi Selatan 91862, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRpQ74Yq3RRylIJnRhAvTWx-2zHbVbOQuMAFxnAVnam6_F63kjsQQtGLGVI1nYx6jUUI1bIyg2II9u3U0G0qMH4iuUxT5yjxkAqONr6iYySt96aovmwGhjp0j3cdsMUd6C5ctW=w1200-h800-k-no
Objek Wisata Galugu Dua Sa'dan Sangkombong,"4W7R+3Q7, Sa'dan Matalo",Kabupaten Toraja Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEOCoIPJOkb0nn5jcH6ihCX4FyjJzh7LdGHJoT52d3CuDaNCJzuzgCOoiNH2U5kEcqPxtZhp3dVxpYhwZKhr3LBT6Zwiym4ywKtQehLLBvTtXuzbagTiaBHVa2zQr2fE5XART9HEQ=w1200-h800-k-no
Taman Kota Buol,"5C96+MHQ, Leok II, Kec. Biau, Kabupaten Buol, Sulawesi Tengah 94563, Indonesia",Kabupaten Buol,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSG0HtTViuIKs9PcCpD_vAEFzhWi4wPSxSYoM6Gup0wNMh1GSxIhr_DYL3ILIZc0Lp2789i-QjQ2d9mk3xPN1E6EFDq10EJXE-G08QA3NZLha_XdiaYtMYYNNzn03XK9Wo4qRV=w1200-h800-k-no
Pantai Kuri Indah,"Pantai Kuri Indah, Jl. Kuri Lompo, Nisombalia, Kec. Marusu, Kabupaten Maros, Sulawesi Selatan 90552, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmHOcy2aKZnT9qNxgilf-PBsL2lF9w3gviSXk92Hf_giiATehCHn6AyHPdj5w4EZKZccE1GGOQMFWTz9faMwJIK8o8rsEJTgTFZz9N40RN2N77DlT1a7P-As-VWbOguxPooog=w1200-h800-k-no
Air Terjun Merdeka,"VM3C+Q8C, Pucak, Kec. Tompobulu, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5n7MQpxUZAR-HsPEcgDuv-ubEnwXmQDHc-BAqMC8QOOjN0YE76DKC6d3Upty5Va4WchD4xHJl8o-_Jax5H_UivMKEOj4937l77nlNs2DL5kJy7zTYImsVgFZFnjGJjeq87UppxA=w1200-h800-k-no
Taman Motika,"MG4V+8FC, Mandati III, Pulau Wangiwangi, Kabupaten Wakatobi, Sulawesi Tenggara 93795, Indonesia",Kabupaten Wakatobi,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8tE8y3zMDgA5brerOdYPl9ROSwaEFj-guZy3Vd7c0LUcmxroBXKHiZ5mk9cRmV04iS5JvJhSLHq8tj5f56uFhFpfbWjY2dsFqyQ9uN9sZ7e7qAIVkaKqsIAq6ciM7DVD4QeOw=w1200-h800-k-no
Puncak Kayangan 1 Sombori,"P9GW+CGF, Matarape, Menui Kepulauan, Kabupaten Morowali, Sulawesi Tengah 94975, Indonesia",Kabupaten Morowali,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfLGSUqhyj95bMSfv0-WEwqj8ttkxoh7l7i2081SeLzcZCxq3OoUJw5ueYGekU0NDLLi8nnlM4JJBLqAvzQL23FOCxqxxWsYEr1dig1Cu7-rIXZyT9PD5ksrtzGSTYUpAhslBi=w1200-h800-k-no
Tanjung biru,"Tanjung biru, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225, Indonesia",Kota Makassar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdBJ1BEdovEKFdcJIez0l_TzIopHK9t3oqEZ2fL95ntAN4XsGeKci4AgeXmGIuk41TaCn1h8YeNdyoc6BePDW-Ljtd3dGAiz4VqVA4c3TrwCYAzD18Qsxt_vg9Rie5cKeTOVjR=w1200-h800-k-no
Wisata Kebun Jati Gelebug Chandra,"Unnamed Road, HX47+PJ4, Mopugad Sel., Kec. Dumoga Utara, Kabupaten Bolaang Mongondow, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH948eWq5BHh4LCzLZTUzUMqUgM9gJFgwpcM-TqamQkihcJs28nZDazFtfPaML_lPO1vXB_-n_FzRp9YReqnTF6du15q20sRS8-B6_opglqK7hGb_RqsQlgBIR6E6g6CsEsaPeXrg=w1200-h800-k-no
Air TERJUN NANGA NANGA,"WHV7+734, Anduonohu, Kec. Poasia, Kota Kendari, Sulawesi Tenggara 93234, Indonesia",Kota Kendari,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKSMLBpyyoU_zIKpNc0PgMcK_2loxItTxpdYoUOTf-k9TfTXu2-9Pzo9ufIaFEpo3xM4E0VGEe5-oulmew4Nst3DE-ZI8AC-tTM41CUdjAQu9CVN2tQ0ZHLey_SwcyEXheucU=w1200-h800-k-no
Water Sport Objek Wisata Pantai Molotabu,"Molotabu, Kec. Kabila Bone, Kabupaten Bone Bolango, Gorontalo, Indonesia",Kabupaten Bone Bolango,Gorontalo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG1b6Ec8S4OK5bOOR_dDC3hVOqO-n-ApOQjSflvd-SHqKDX-LR_V1eatJJpfNPLLFYOGTbMCJ-v0UtMyHodCqtFUIx75gi1a9ZALqfkOzjjnZQYnybMkDxCH8h44ZAF4D8tBD8-bg=w1200-h800-k-no
Kawasan Wisata LEANG LONDRONG,"4JPJ+8C6, Panaikang, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90619, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfp_0An4JZ3cT-Pu0uWfA9rEE6wLLOlZnQ0PCaSyA_M6xcHkufqBmlLcWmHJLneTA6RASCL42k67O7ei4BO7YHSOv7uRuMvBtDURnKjRdR0ka6scQd3yiY2UdmmhhXVOkk9mtmxw=w1200-h800-k-no
Pantai Wisata Moian,"Pantai Wisata Moian, Palapi, Taopa, Parigi Moutong Regency, Central Sulawesi, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYwegrwHwfZnRJ4gwEW0yynEQ0RUcihDpyGkBZOu0y7S-5WzMHicXxdvEGRN7uutD_dEjvr1ckohHslfXpcNPZLVm1QhIBRKdXGhCqqMGvO6YRTa6Q2CbOggSm-eBatE39dS_xkw=w1200-h800-k-no
Tumpaan Park,"6JV7+W6Q, Tumpaan Satu, Kec. Tumpaan, Kabupaten Minahasa Selatan, Sulawesi Utara, Indonesia",Kabupaten Minahasa Selatan,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGjgqyru78Chbyd19p-FYMeFP8eJRkVBpEDq8agoi6V7aYlbm2LiI6kcqs3jmZbgtGviqIx5aEOJ1Ad2egurHdaVQVvuHcRzDpd9ZzTonbT4slA_pXbysl6m64J1AjhOzg_B_ww9A=w1200-h800-k-no
Pantai Pulau Kondo,"8F4R+PQ3, Ranokomea, Kec. Poleang Bar., Kabupaten Bombana, Sulawesi Tenggara 93772, Indonesia",Kabupaten Bombana,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQAQltJO-NAExvtv-PAyPnht9durd_ye0ADbwRxZ-r7CGgv5meJKuSODxV-uIzUm_7bXNaS44p-SFGx7Godadj47rFd2-uCW0pKiBi9UsF9WEdMWRRyRQjuUxVjh9tKJoo7ns=w1200-h800-k-no
Batu Ejayya,"FV37+3V8, Bonto Jaya, Kec. Bissappu, Kabupaten Bantaeng, Sulawesi Selatan 92371, Indonesia",Kabupaten Bantaeng,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZdr5R1oEakOhe2qVmryrqb_iDLGY_roDsLDesctnAxSC2-RI4IDtXktSCQsoLoURVvB71QO_1ImoMOrjoh_k6iRYA5uYmee7NoBOx6K3S8puCUM5IIgmk9LL2-AAgIE6_F8WZ-Q=w1200-h800-k-no
Jembatan Muara Sungai Palopo,"Jalan lingkar jembatan muara sungai, 258W+XC5, Sabbamparu, Kota Palopo, Sulawesi Selatan, Indonesia",Kota Palopo,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeMRJ4OdsLNNLScF_7nTKsowuOWaeYjZm5txP-DyyS8cIfwKISnKeWol7dzTT1AO3fDv62-tfJDZfjUk1ND84LMkiXSUKvhvQ-fbyBhnGCZfAszoeuq9EpsGhAjOuJw_V_Q6Qgxw=w1200-h800-k-no
Pantai Lolak,"Pantai Lolak, Lolak, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEbqwLIefp6dFGOP8z3exTTr5iE2SMSktjIItykc5_rCBZUTrwTPvQ_VPrA72vkHkpj4lsK8gLFwRgk5jd50YHtg0U1GfwHVdBAcvKcTqfIxaiQT6o6PWWMPehZnu02h-K_ozXd=w1200-h800-k-no
RAQa River Camp,"6W4R+3X, Bale, Kec. Tanantovea, Kabupaten Donggala, Sulawesi Tengah, Indonesia",Kabupaten Donggala,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwTQ-Nppre8Qv0Q1b7wILLLPB-zDE4dumC_rFnWizZnWCKFydr8YCOjv1m7mdQAw8sdWaBierGM7p7yaRXoJIpU1N30icyn_YLITTWeJAcGCN9-DjYcVH7xm65uJYE6A1OreKr=w1200-h800-k-no
Air Terjun Simoko,"G2R7+XC3, Campaga, Kec. Tompobulu, Kabupaten Bantaeng, Sulawesi Selatan 92461, Indonesia",Kabupaten Bantaeng,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGB7A0SqaI4UXeGBOVY-XKA2ehvA6ngsvKExNzWHrVV-1NdZQJ-8gNgiM1gpwEei8mAAsNulPjp9ZZ7fjoEth_ou_zzAEbDXYz1i__MvRD-lm05PNCefj5gEH_pG6YP6RosOzTs0g=w1200-h800-k-no
Air Terjun Dendengan,"XP6J+48X, Koyoan, Luwuk, Kabupaten Banggai, Sulawesi Tengah 94711, Indonesia",Kabupaten Banggai,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPS7wRljp7Kgyw-aiNxFqWPzYa7RZw0zUbzWQX8CDC9RibQYt0KQL_8GXcOo2HdEpGo7nGe5hgVzYGHVnYbGye3uS5SxArph8MKXOB4rd0obQhWZtAgz4Rdrx9XZoKeQV9fHd4=w1200-h800-k-no
Pulau Karampuang,"Pulau Karampuang, Unnamed Road, Karampuang, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91515, Indonesia",Kabupaten Mamuju,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsI8TU8bGc8eJyHBWg0MbirEXtN4TyhIhQrjh0P0i3HR3wiVC8eJlkmkWmizFG5wHgJDxkWtYSobLqGEN5jy4pBjzg9NfVXrHFXNcJJeW7MFSFrUHCRNP3vInDjRfy2zTqfffJ=w1200-h800-k-no
Black Sand Beach(pantai pasir hitam),"JX4F+8WV, Jl. Poros Pasarwajo, Wolowa Baru, Kec. Wolowa, Kabupaten Buton, Sulawesi Tenggara, Indonesia",Kabupaten Buton,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAENXNRnSdKCWsS-lGki3F0-_svvITKv0JZS1KYl1X3-xHiBLonoAf6eIxOpfF4YliGtigSA0GxLR_S_8Am4Q4wU-N-JWtbFIiKsiMqSBZJs5dwBZX4QJjLT2Ddq6QJOWfbL9qJF=w1200-h800-k-no
Pantai Baluno,"MR6W+QJC, Pundau, Kec. Sendana, Kabupaten Majene, Sulawesi Barat 91452, Indonesia",Kabupaten Majene,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGR3hXN_h86aSjTsNp8N7FH5LywE07ufjp4lK_FOvK6XRKUuJJisrN0B6oRAmb4lIXPeHJJDzYHeGPNNx0CmfzDiIPXdvRRmurCRNXj8MTOEsZ6MX5fwUuADFAe8PDfVoZhIdnB=w1200-h800-k-no
Bundaran Bahomohoni,"GWFJ+XPV, Bahomohoni",Kabupaten Morowali,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFplYB3kwtAFGVt2YFrB8rWgVpBgZ6AEZZt1r7mPiLTzTQEMCLqvSs-1JgndZMxUjgLppOJLLd72mT0XFJkAvW5yDKOAYDbWAu8LOCEPtQEvUe-C7jDkvJA4ap8YA5ac2w49g_A=w1200-h800-k-no
Ujung Tape,"Langnga, Kec. Mattiro Sompe, Kabupaten Pinrang, Sulawesi Selatan 91261, Indonesia",Kabupaten Pinrang,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG24CCjl9JMKguWFTQEG4_oEsu9idWicRFvSPFWPmJqLUpRm8CN-N1KeLN7erBozw9DtAGUkwCAVbgRhZqoqjWouK1vTxV7vKXrcGbtN-NozL7H8QtaJgnC4s91MpRKrfuuM4fP=w1200-h800-k-no
Taman Puspa Pesona,"FQPP+XRM, Harapan, Kec. Tanete Riaja, Kabupaten Barru, Sulawesi Selatan 90862, Indonesia",Kabupaten Barru,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRuizNQ44qDB4t5Y0ErCa3PpOrgvnXrWUPhulZM6d3ykJis1eXBYT6INcbXq3FzzdhGEcvp7pfGByakanIorZHrXBbgbfghOHhIdGZTwzivSVQE3bwY6uefASIQoEK94WUBU4=w1200-h800-k-no
Liawan,"V85F+CX2, Tadisi, Kec. Sumarorong, Kabupaten Mamasa, Sulawesi Barat 91361, Indonesia",Kabupaten Mamasa,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaI6EMCuB7IO78cx91gYvvMgirIeF_iAFEwxxVuqrEQCrG4PuDDcX5fUzO1GXA0a12jknA-6dDksxKIwkF-HPnaTiuNqXPY7yGXx6qoDgEv-nkVGGPS_4lUPl7lF4mfpB8SFo=w1200-h800-k-no
Permandian Wakantee,"Lawa, 4GPW+V9X, Latugho, Muna Barat, Kabupaten Muna, Sulawesi Tenggara 93652, Indonesia",Kabupaten Muna,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9xxRE0zTVWeSKF_t6UAUEStlMAlLcdbgD2h05aKvjTaldZ_cTD9lhT6mRk6ejmufI6VIqnhNrA5oRKP31b78DfhM0MgnJqUNhgZl7bYpT0Y1yceT2yJZzwDdAhR48tLLclysr=w1200-h800-k-no
Air Terjun Kamumu,"5V39+5G, Kamumu, Kec. Luwuk Utara, Kabupaten Banggai, Sulawesi Tengah, Indonesia",Kabupaten Banggai,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAExP32ZJYcLufmFJAAZJS1Kuyj1WcL51GSun25tk3p4YRlODQ91e1vqMmsANRKVGbyLRj0zfG78DsR1y78GdiG5TcfMYjVkoS7I4YDNI68kzsJ22zYH8f01IAf3S81C_YstbeQ=w1200-h800-k-no
MONUMEN LAPRIS,"Bulukunyi, Kec. Polombangkeng Sel., Kabupaten Takalar, Sulawesi Selatan 92252, Indonesia",Kabupaten Takalar,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGd-XoeNjx4GWmw2TXh629tgMzCex1UB6fFas8foMTliMroWCqq7afEXlIeOuuQomGqaJwXVSCiuGrzY1cILrhw-i8xinIVWSa7J10dEdHE6nvJ8Hhwadyhmr_zQfUPQmYW5s1Z=w1200-h800-k-no
MANGROVE SALUBIRO KAROSSA,"49H2+7JF, Lara, Kec. Karossa, Kabupaten Mamuju Tengah, Sulawesi Barat 91563, Indonesia",Kabupaten Mamuju Tengah,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEWrGAOAZvPslQvOh-Yln_JxYxqP-r_f-85QmddHcfABxoBtbfkhngmo_CrnxuNmVow59DJey3hkKgDkqeuTbBIp3CdMtbrtAWvLEfYoRLOKb7IpLdJ-Wjh9vvZFrG6DZuVSxld=w1200-h800-k-no
Taman Margasatwa Tandurusa,"F646+2Q9, Tandurusa, Aertembaga, Kota Bitung, Sulawesi Utara, Indonesia",Kota Bitung,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFk_zHy3AiJe9QxBTsb-8ZycfWtDOKYsLNT8ZR2sq67eQYKbJFOCvyLDInn4JlpE-2FoUc83CGMGBBOvCEl1rsWyIjYns3O_wIbgoY73Pu3lodwlxX2kiMixEkmzV_yuq6rjzc8wA=w1200-h800-k-no
Masjid Tua Jara'e,"Allakuang, Maritengngae, 2QGW+WVM, Allakuang, Sidenreng Rapang, Kabupaten Sidenreng Rappang, Sulawesi Selatan 91611, Indonesia",Kabupaten Sidenreng Rappang,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8-xhtpKkNCEmrhJCndZZHhxOwO-tp86JC8HOYjG3Qr63-0oIn7ZZ7mMv1fPb2hHdGHiqck27IPM33T5DRvhQoI7vqNZTlecpBUbkTJQcdYZlAtrVHLEEuMNRZnVy1bF4OphfZ=w1200-h800-k-no
Pantai Bulo Rerer,"Pantai Bulo Rerer, Makalisung, Kombi, Minahasa Regency, North Sulawesi, Indonesia",Kabupaten Minahasa,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBsDa-pPpklXOY6mhI7f9mjvv6aBj14FJzQ8_1ppZBWMHxTkQukBiXr1olAv8hzm36svFl3DiZH_Sn2ZFZiI2xLYr_1PdevUuO7gdpPuPaRmD2llXGlyhnwWeWr2bzdb2mQxPv=w1200-h800-k-no
Puncak Bulusaraung,"3PCX+88P, Baru, Balocci, Pangkajene and Islands Regency, South Sulawesi 90661, Indonesia",Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9gDvI4KTd3fhNPbHcvWXvlGmdMazaypQHv6Jmipdu_fGyuZSegMDOBoQg861e__YdqG3SMuCbH4TwAipwi5yoa1gOwf84wG3Cw_AyxGXoVSh3lxZfOlnr__WonWkZOgOFtyM=w1200-h800-k-no
WATERPARK AMANAH TANI,"Sumberdadi, Kec. Tana Lili, Kabupaten Luwu Utara, Sulawesi Selatan 91966, Indonesia",Kabupaten Luwu Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0EkjU4SMfhd4SSgKPsDVSFs5F-DLZsnyHV69RjZdGy7iUKpMfqLjVOZD-6w41PaJaVMpErjNfBG1knBv3j00OtSmhG1d6DtBo3rCwnX7LADXSQAdvrfTi-zDPEr8cZC4JVofv=w1200-h800-k-no
Pantai Pasir Putih,"Pantai Pasir Putih, Pasir Putih, Kec. Sangtombolang, Kabupaten Bolaang Mongondow, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAES4znOhK5sjZF7XLuWaYdjVLvWcpLipkI8vzVqKdWjVfsf5-G6dn-mROs4iBy34F39RqFxFaMCTK2kVoTs3fGoa677m1UNejb4hIXbE1wqU5GnJk3tOhW1QJvl2Bw7r4KROOIgvA=w1200-h800-k-no
Air Terjun Cinta,"PP2W+8CG, Tamalatea, Kec. Manuju, Kabupaten Gowa, Sulawesi Selatan 92173, Indonesia",Kabupaten Gowa,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHpmNj1H6lFvCRY7kQ7roG3cWGXOkbZ8_nnzz6Bsvzvp4rTrVFYZt3VZgHq9U0U48w6uvB-FmoIyBM4uDUydNlKK9cY3AVgbVOPvl3oHzufdgqWX9IeRWN-D65pVHQ4pXJEUPrL=w1200-h800-k-no
Pemandian Air Panas Rantekatoan,"29V8+R9V, Osango, Kec. Mamasa, Kabupaten Mamasa, Sulawesi Barat 91365, Indonesia",Kabupaten Mamasa,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEv2J_mTSn_q82ORkvPVrBm87Jer2_u-spgY916-88S74AUnk_PmwKG3hGi5bIaaOl06a9NxAiU7O-eQkHNg-yg3yCdQBAaJkF86MpSSad2SlaXqLc8wqWvEcaY4j1NMK4DhXj9=w1200-h800-k-no
OBJEB WISATA PANTAI SALUKAILI,"Jl. Poros Majene - Mamuju, Baras, Kec. Baras, Kab. Pasangkayu, Sulawesi Barat 91572, Indonesia",Kabupaten Pasangkayu,Sulawesi Barat,https://streetviewpixels-pa.googleapis.com/?cb_client\u003dmaps_sv.tactile
Mangrove Park Tiwoho,"HRVQ+42H, Tiwoho, Wori, Kabupaten Minahasa Utara, Sulawesi Utara, Indonesia",Kabupaten Minahasa Utara,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHySiz7XrkyOaJoDalP6Ld5YxlmmlQTsm8d0Y88MkgZbT45m4XqtfutrJNjQwXMtep7Q8kjY2O3CF-g-nGVJUNNER2m8vnGuAkD26AwHAGXGEMU2O8Wnh9_OQ7fW-L9Wrl_xAe3=w1200-h800-k-no
Camping ground kendari,"XH2G+JMW, Mokoau, Kec. Kambu, Kota Kendari, Sulawesi Tenggara 93231, Indonesia",Kota Kendari,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF51RY7zYVFo2yW7o_v8WUXjG9ZZYVX0ENwDRCRW6vjbcXVNhip4uZmJSlIOeh1Cq5QOt6fhkg0zFeRsn0lWb74x7Z8ntW-PL3FlrTJTuU3QkqoRxudlMvqikB2pdf2bky-UhMN-Q=w1200-h800-k-no
Wisata Banua Pangka Wotu,"9QJV+93J, Bawalipu, Kafhdhfjbupaten, Kec. Wotu, Kabupaten Luwu Timur, Sulawesi Selatan, Indonesia",Kabupaten Luwu Timur,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2VPB4Jjy3R2Y5hIG8y3x9GDdv--8_kW5h5CfD9Q4Z0_jqqYqcqW6CEivUWxowT5_wW27qQje7XIyIotUrO6gPMK84QP0q8jx2QLqjSNfnwMNv7ODGHOJEhVuvYmFeLHmwi2Ww=w1200-h800-k-no
Bendungan Bantimurung Bone-Bone Luwu utara,"CG8H+GV9, Bantimurung, Kec. Bone-Bone, Kabupaten Luwu Utara, Sulawesi Selatan 91966, Indonesia",Kabupaten Luwu Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3jw_23hXEdDNRvu1D0YmB8fELdfBDQmNSnAxW-THFrUURdVqT-CG-nPP2ufbrn_8U98WQBIJKE67VvGAe1CuvMNYjBo1SEE7hqUpIK5i_eLGfbT9IwhV_Kls9bVd2i6B1xZn3=w1200-h800-k-no
Bukit Bumi Cerah,"J443+3Q, Bulotalangi, Kec. Bulango Tim., Kabupaten Bone Bolango, Gorontalo, Indonesia",Kabupaten Bone Bolango,Gorontalo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6Aw9ksGXPPeG9Q456PfyYO09uDbDevyCn5zYGc9x8_BaxnOW2_bY3QaBZzV--Sk-zo68D616fmENGWpU9iT8CuciSAySCstib8v2tNygKtIXo7fxt1zYOWh-UVO_QB0wv7EXo3g=w1200-h800-k-no
Pantai Marboro,"P72G+M58, Mawasangka, Kec. Mawasangka, Kabupaten Buton, Sulawesi Tenggara, Indonesia",Kabupaten Buton,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7fLK-BInORICKTnPgsSpgfCvAMRaggu2ueGOlItnJzxcL7CixSAqEuYnInoZzEikQG8c6szWRCGwtdPeVSxMJp6Cen5sHB1-5k5giS0EbdEN5SVHwDmPP5vFCQQie-zXHTOk=w1200-h800-k-no
Air Terjun Danggang,"JPPV+Q99, Sapaya, Kec. Bungaya, Kabupaten Gowa, Sulawesi Selatan 92176, Indonesia",Kabupaten Gowa,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHopnmMroNOAZlicRd1FOdRaFrSfpf_mkm9XHFpumfKCoDSl97DxpoZYJF7pSGmPx_l_a5TAgc88CYd24bu9IDSlj4GUvRr5kcf5XlGQ4KXyRffYYCXDHkaG-cn_AaTIRT-gRn3=w1200-h800-k-no
Cagar Alam Karaengta Maros,"XP2P+3RW, Jl. Poros Maros - Soppeng, Samangki, Kec. Simbang, Kabupaten Maros, Sulawesi Selatan 90561, Indonesia",Kabupaten Maros,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHO90uC1Fbu_fg5texfvuPrWAH3iY0zg8ahc8d8s8FIbB6LDRk4Nci29LD7_VSjHl876d2VgyUqGJq6PSQRtDtt2TyFHSV1RJSPRlSYHXbqnNnpqyz1OP1LuTp22glNidtKIAE=w1200-h800-k-no
Pantai Labobo,"Pantai Labobo, Balobone, Kec. Mawasangka, Kabupaten Buton, Sulawesi Tenggara 93762, Indonesia",Kabupaten Buton,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtfxePBFDa116yl-xjR0s43YqU8FoiitsE4H6V4jVXOs1o3pisu5j6Nbj6AbBQbC61VPItSPbIOZtJ-TPQczfMr2zaqTJg7eOXfxEAmTEgnpQTCcpJbaPUnuxHyc-jdfk3wH8=w1200-h800-k-no
Bukit Indah Camp,"QH5R+84W, Bontoparang, Kec. Parangloe, Kabupaten Gowa, Sulawesi Selatan 92173, Indonesia",Kabupaten Gowa,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5FREwsgom9Ip4VUxKKH1tDbEpgOXTATP1Vk-N35ZxvO1pg7GiWRiUtCsfJfkPVocDJkL2Ejj0SBqHD7THTq3bx0fRD8USVcdGb7xa0RpGifcf3YC0XcY2dV6MjDLRm8x20w5p=w1200-h800-k-no
