nama wisata,lokasi,kabupaten,provinsi,url_image
Air Terjun Likunggavali,"9374+979, Uevolo, Kec. Siniu, Kabupaten Parigi Moutong, Sulawesi Tengah 94474, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdB1cKhhV8BpO2-t6JxNFWZpvdq16cqTlIfTSTuTjttKd71pjS-gl5OQMHN4GariS-42Hgd0s6FqYytGR06wByHV3imNer9TTLCOkE-j-_zHP6i44BPl-yZ9wD6xHCzK1Z4a0i=w1200-h800-k-no
Pantai Karosondaya,"XG4M+77W, Tambu, Kec. Sausu, Kabupaten Parigi Moutong, Provinsi Sulawesi Tengah, Indonesia",Kabupaten Parigi Moutong,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlkaDDJaFeKErAsLfkjRpEG3RANWN8OPemuBTjToaCOJufVMUj5rzyjUxcBELDJFnbglsp16wQGE9aGn_Ta5z1xrOtNI41SU-OPTlhZmtuf9JPokY4Sb_5t7LQN7CSyPPhHXzwP7G9_fTk=w1200-h800-k-no
Pelabuhan loji,"55QH+6R, Loji",Kabupaten Parigi Moutong,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEijz6DuTq6PhzcYiCkmsphcY-CdVGB7r-Uahn0mscA8x6z_bcAj9hjgPqwTpWXDGPnxXi4es2gadWmB7RRO6F3VbSoiO3jVYevDuziW_fSnH66a_U1130gcdNCLx7lYeIsp2N2lBeSq-E=w1200-h800-k-no
Bukit Amdn Poso,"4R2Q+8M7, Jl. Trans Sulawesi, Petiro, Kec. Pamona Tim., Kabupaten Poso, Sulawesi Tengah 94664, Indonesia",Kabupaten Poso,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7c06_bXjGDvG6sADUPjjMbhidqUQgA3zAVsLzQYHwwAG3PSvV9gmZVRG1LpSqzYM0at-UtmU7-qdTx7jdLHGr-CudKhxOS84-emoMx-L_rAvT7mxuwgn4DSHteSFvkZnFXLMV=w1200-h800-k-no
Pantai Bongo,"FF6M+83H, Bone Baru, Banggai Utara, Kab. Banggai Laut, Sulawesi Tengah 94891, Indonesia",Kabupaten Banggai Laut,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQhy7cYuOEA19tyVwlkV3p7Wt1OGON_t6p99tF2pbE1mjJ7Tvu7IQreJSylL7Oqf_hhJGBdg2rgB-NDYRpO4ZzsvMFEw_L1OuZEsnjB2hYL8wgJdNusLMkGoNotkOMfm6g7iMzJMZGoGk=w1200-h800-k-no
"Bukit ASA, Babo Anjam, Tolitoli, Sulteng","WRXC+Q6C, Tinading, Kec. Lampasio, Kabupaten Toli-Toli, Sulawesi Tengah 94517, Indonesia",Kabupaten Tolitoli,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG76zqqdUVi3vCWlVtnO5uLumDuF3m-h36DNbTb5IJfImaULqGn8MMzWCgLGbJ-9QsQykCMf1SdP6XaGg77Y1LC08f3FvhmL2hp9uwlZ7Zw7_zs9ZQBWLxOrJ6mfiO3DfYg4j6r=w1200-h800-k-no
Pantai Sausumangka,"P73G+JC, Balobone, Kec. Mawasangka, Kabupaten Buton, Sulawesi Tenggara, Indonesia",Kabupaten Buton,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHnMyGlLMpDMKZrKlETtUMiT_J_yKNe1J8uur5LbaAteTfa9dfxYwEBJoY_ObSpUjsGxuTSrrQm1--9jWnNO9D8ld6B6vQdhzG7Fs6bDbKYmxAZOytKIFZbXtFOjDmSqj0w9o_kwQ=w1200-h800-k-no
Tanjung Losa (Bikini Bottom),"8Q2H+FGQ, Labuang Rano, Kec. Tapalang Bar., Kabupaten Mamuju, Sulawesi Barat 91352, Indonesia",Kabupaten Mamuju,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEpOcBoNgsXYu8Kk7SwTYB5-7kyHIiLROzf20yyzp7Jg9Y31_VnZ2C7ryKn2x3iuXJWtw8OB4yPKC4i4WCK3M9NQVImS8yWWE-O68kS1xijlVrcglfNdg7GBpwQ16dOVzLsDtRAWrD6VnM=w1200-h800-k-no
Wisata air terjun Bambatunu Kalukunangka,"2G2Q+GW, Kaluku Nangka, Kec. Bambaira, Kab. Pasangkayu, Sulawesi Barat, Indonesia",Kabupaten Pasangkayu,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPWJg2sW1t_W6SH1UlvZ7nKvFYtSgy8kKSKcOws6K8Y_juIaxyWbqcXDQcSGIqDjZmTxEAc9im0m6vYUB-uvqdN9onkk_y_kesHEmOe2P0jImQYM9SI8kR8sgzRGWOERxA=w1200-h800-k-no
Air Terjun To' Sarambu,"Sumpia, 3VC5+QFR, Embatau, Kec. Tikala, Kabupaten Toraja Utara, Sulawesi Selatan 91854, Indonesia",Kabupaten Toraja Utara,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgQ1lrJ3ANfsD0H5hVEJjxkbFa4Z5QOj1dsoqJhI9KrSKMqOcQ53d-jlYZwD6CRIPZ38jlx2JBp2oc31vc1CfsDDcU83rbD7yiBLfIn3YB0h4fimwj7HAH3bXQsK2zMVvyJ2OajklhCryI=w1200-h800-k-no
Situs Sejarah Ratu Oki,"2MR8+RXF, Kali, Kec. Tombatu, Kabupaten Minahasa Tenggara, Sulawesi Utara, Indonesia",Kabupaten Minahasa Tenggara,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4jvWUI5ye3UA3weQ7HnHMKdyX91pf4Q-xLXMAZaQR-_vwpwNuptl6Q0-Q0np10RBtMji-vuACr43ruVLOd-Wv7hFGqTTAewg8uAVOVs7mcR6825EiXO1Qt9ElDTujqE3jdLuB=w1200-h800-k-no
Pasir Putih,"4MG9+M22, Tete B, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah, Indonesia",Kabupaten Tojo Una-Una,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEG5nn7BolvtP__r-B3SQQX4uNSaDDJBdDMrTO_gUf0BpQElQ793PxyFbHQY3wdlZt6vm7JoH8LJoAYBl6dSAr7m8Zo7_HbN5DwWn3kZa4WRQLiTY618j-aF8256M5FZzO5aRYnpw=w1200-h800-k-no
Goa moko,"FHCC+WHF, Sulaa, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721, Indonesia",Kota Baubau,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHLmPsxxExjyxwGfpJ7PLg3ceOaxfjAcoag5EGlrnmGrBlvjvSfjplskogTsp0W7k1bq3MRYkdi9vw6bEUli-MHUrQWKgV3sw6yRYaSoYwX3wqWWeANAqWlpBqssqZAnVSj8A3-mQ=w1200-h800-k-no
Pantai Panggulawu,"6CQW+J26, Panggulawu, Kec. Sawa, Kabupaten Konawe Utara, Sulawesi Tenggara, Indonesia",Kabupaten Konawe Utara,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFhK2n9hNsQh61PieFZzug-Aeyq7bD_C01upI9gJyc7vScbdEhQtOaRG6SecNTD8FTxCngX8TCy7Mywz17hB1Id9_36bU3JfsyqOONOAy994wEgoMiZGbu7MyNGbX8OLOc-Uix2WN5Au90=w1200-h800-k-no
Bukit Sukun Bhayangkara 78,"9R7J+67, Bulutakkang, Rangas, Simboro Dan Kepulauan, Mamuju Regency, West Sulawesi, Indonesia",Kabupaten Mamuju Tengah,Sulawesi Barat,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFICDVqqT1EKZRRbciGgIuFF5gFdclAzeCgdPZaDJ54c_wNb0ZfCucVINga1LRTtmYCbW0ntPTH54g1Xrr0Hojavh-868gwqwzJfJzU5zvpGI2vGm0cBdXqztM84S5u2eNLy5If=w1200-h800-k-no
Wisata Alam & Kolam Renang WAE TUO TEMBO'E,"Unnamed Road, 92552, Bonto Minasa, Kec. Bulukumpa, Kabupaten Bulukumba, Sulawesi Selatan 92552, Indonesia",Kabupaten Bulukumba,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRL0R60rrVYdnCaQKmrv8oOhaGbNYgb5cmrpgewQsjMpqBJIr0owDkVlaSZMTHTUueXljnCP5HR_QbujdT4mU5iHJisnHWf6WqXC0tBzx_Nzsik9s8uE667g8jS75WlF4hfJN3=w1200-h800-k-no
Luak Hutan Mangrove Kotabunan Selatan,"Kotabunan, Kabupaten Bolaang Mongondow Timur, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHzVoeKOeW3uqXVeE9vAD4jeSznf7FE1gTYFcAVysYK7AyT2-9JJULmWyAq5139C8YRJQ_psPi8-dNCdZ6ItxvxdeoCTbzaiKeOLLGLEZ9wj37cghkoiKtq-IKWNRpjFfcBG6xz=w1200-h800-k-no
Pantai To Bolo Lia,"7MR9+M4V, Towale, Kec. Banawa Tengah, Kabupaten Donggala, Sulawesi Tengah 94351, Indonesia",Kabupaten Donggala,Sulawesi Tengah,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjccwbc0o-7i0gevFu-rXAqeVr7GJ6LLNGjfycNNR4bEbx7vcravZRtb7KMA-hrIUZthSuLb8jz4yPZaouJRfWgy8ZECYqIR1Ap_Z2qlRRANOvWm2oL2qUMdgcDyuez3TH2-cw=w1200-h800-k-no
Puncak lakampufu,"Kondongia, Kec. Lohia, Kabupaten Muna, Sulawesi Tenggara, Indonesia",Kabupaten Muna,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnQCHmbvHqDZh5E-tTq39xh5mgV_WC2MDxrsa9mcwj2rcatFKs0TFyF1jiKmot1kG3SiDFeV-F5b2VAQ2P6yjV-vSlWzFnBrR_IwTGIjnafeDG86ohsq_GRcMrlMZ5f3QH_AFocQ=w1200-h800-k-no
Wisata kasiono oe,"4HG5+6HH, Lapadaku, Kec. Lawa, Kabupaten Muna, Sulawesi Tenggara 93652, Indonesia",Kabupaten Muna,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGv4JyIOi0KKcU5ErJU5fOM6p9MUg4dfcG7_OKQ2ZHX97xsWzIYzYChIjQdSzo1DxoCcHZCaaAoRx5zBVwZAWUmQ2QFe6wDDDkuFb39_-IyJWt43TXwtSPBk3TNODCjMR4ALEH_=w1200-h800-k-no
Air Terjun Salo Rumpala,"Bar.,, R26M+F2M, Bonto Salama, Kec. Sinjai Bar., Kabupaten Sinjai, Sulawesi Selatan 92653, Indonesia",Kabupaten Sinjai,Sulawesi Selatan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFFkBOLtOnWWwzLIfucRp-4zFHWT0xEiwXzve_53PsNMFlntkFbfN24NPW8PA8GVL7e3xT9o1C6UnB7wwXulpteSUmL6x9sqCAyH717ONLCw_Coy7ePx0oQrHPQ4ybLpdEp69apCUEqG8Tl=w1200-h800-k-no
"Bukit Tinggi Beach (Kakas,Minahasa)","3X75+XV9, Barat, Bukit Tinggi, Kec. Kakas, Kabupaten Minahasa, Sulawesi Utara, Indonesia",Kabupaten Minahasa,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4gvc4xdAWhDSFXx4EKNbtGvlW-T10y1Ydc2lnO1fTtKx9WNMjnJkYs40LFFika06KUNReAdrc6bthrievqNzGiqWw_2iE5ORj54Xc0ocs6g1bO7o5KXoypCExPvUyztJg9gc7=w1200-h800-k-no
Danau Bunong,"PJH4+M93, Togid, Kec. Tutuyan, Kabupaten Bolaang Mongondow Timur, Sulawesi Utara, Indonesia",Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKJeiCc77FLC1kSWN-wSlO6WKrbdeTbDD_bOK806jMqwEa6S7n5pHfghLHjzy7bGgwHCtFvgvX47Y9llfdODa-vcOjNQaP2fzypdRVuxFgtekQ-FI7jCxQ2dXWeka-HRedu_NUG4yNt-Gx=w1200-h800-k-no
Taman Bukit Kaluku,"GHMP+CRJ, Bone-Bone, Batupoara, Kota Bau-Bau, Sulawesi Tenggara 93712, Indonesia",Kota Baubau,Sulawesi Tenggara,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEixtpe9Sx18HykG5tv1Sr0ZPlDT1FHXGyAnofV146kQIl8kiG9l_e6dhlG1UZTW6YCHMgkaGuv9QKO1dEYA3d46gbcMoQJN6gpU4LdosYou64XL7QZM9IesuhUbYjh4Xz_25SY=w1200-h800-k-no
