nama_wisata,kabupaten,provinsi,label_rekomendasi
"Wungkolo, Sulawesi Tenggara-Indonesia",Kabupaten Konawe Kepulauan,Sulawesi Tenggara,Terbaik
Wisata kasiono oe,Kabupaten Muna,Sulawesi Tenggara,Buruk
Pantai atapange,Kabupaten Barru,Sulawesi Selatan,Baik
Buttu Saletta,Kabupaten Enrekang,Sulawesi Selatan,Baik
Bulu Masomba,Kota Palu,Sulawesi Tengah,Buruk
Museum Bharugano Wuna,Kabupaten Muna,Sulawesi Tenggara,Terbaik
Luak Hutan Mangrove Kotabunan Selatan,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Buruk
Waruga TOAR - LUMIMUUT Palamba,Kabupaten Minahasa,Sulawesi Utara,Buruk
Wisata Puncak Raja Bunga,Kabupaten Majene,Sulawesi Barat,Buruk
Wisata Buntu Kepa',Kabupaten Mamasa,Sulawesi Barat,Sedang
Wisata Istana Karst Ujung Bulu,Kabupaten Maros,Sulawesi Selatan,Terbaik
Pantai BBC,Kabupaten Kepulauan Talaud,Sulawesi Utara,Buruk
SAUNG REWAKO,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Pantai Pasir Putih Tete B Ampana,Kabupaten Tojo Una-Una,Sulawesi Tengah,Baik
Air Terjun Sarang Burung,Kabupaten Barru,Sulawesi Selatan,Terbaik
Permandian Likubassi,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Air terjun pesa 1001 tangga ondo ondolu,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Pantai Galumbaya,Kabupaten Takalar,Sulawesi Selatan,Baik
Wisata Pantai Tapandullu,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Cahaya Berkah Abadi,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Terbaik
Bukit Attirong,Kabupaten Wajo,Sulawesi Selatan,Sedang
Air Terjun Rok Rok / Rayouw Kembes,Kabupaten Minahasa,Sulawesi Utara,Buruk
Puncak bitung,Kabupaten Soppeng,Sulawesi Selatan,Buruk
Pantai Pasir putih,Kabupaten Jeneponto,Sulawesi Selatan,Sedang
Pantai Buntu Matabing,Kabupaten Luwu,Sulawesi Selatan,Buruk
Gunung Ambang,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Terbaik
Raja Ampat Bollangi Gowa,Kabupaten Gowa,Sulawesi Selatan,Baik
Pantai Lito Mohinggito,Kabupaten Gorontalo Utara,Gorontalo,Buruk
Air Terjun Borisallo,Kabupaten Gowa,Sulawesi Selatan,Sedang
Air Terjun Sitodon,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Istana Kedatuan Luwu Palopo,Kota Palopo,Sulawesi Selatan,Sedang
Desa Kalupapi,Kabupaten Banggai Laut,Sulawesi Tengah,Terbaik
Patung Yesus Penebus,Kota Bitung,Sulawesi Utara,Terbaik
Pantai Bone Moute,Kabupaten Banggai Laut,Sulawesi Tengah,Baik
Bulud Init,Kabupaten Bolaang Mongondow Selatan,Sulawesi Utara,Sedang
Air Terjun Tumburano,Kabupaten Konawe Kepulauan,Sulawesi Tenggara,Terbaik
"Kolam Renang Lombongo, Bone Bolango",Kabupaten Bone Bolango,Gorontalo,Buruk
Pantai Salatiga,Kabupaten Banggai Laut,Sulawesi Tengah,Baik
"Batu Tiga, Tanjung Leok",Kabupaten Buol,Sulawesi Tengah,Baik
Torosiaje,Kabupaten Pohuwato,Gorontalo,Terbaik
Permandian Komando Water Park Jeneponto,Kabupaten Jeneponto,Sulawesi Selatan,Sedang
"Embung Hutadaa, Talaga Jaya",Kabupaten Gorontalo,Gorontalo,Terbaik
