nama_wisata,kabupaten,provinsi,label_rekomendasi
Monumen Korban 40.000 jiwa,Kota Parepare,Sulawesi Selatan,Sedang
Permandian Kolam Toddang Jompi'e,Kabupaten Bone,Sulawesi Selatan,Terbaik
Rano Kalimpaa,Kabupaten Poso,Sulawesi Tengah,Baik
Air Terjun Lembanna,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Pantai Pulisan,Kabupaten Minahasa Utara,Sulawesi Utara,Sedang
Destinasi wisata sejarah LIKUIFAKSI PETOBO,Kota Palu,Sulawesi Tengah,Baik
ANJUNGAN 533 BEACH & RESORT,Kabupaten Luwu Timur,Sulawesi Selatan,Sedang
Danau Moko 1,Kabupaten Muna,Sulawesi Tenggara,Baik
Taman Kota Sengkang Kabupaten Wajo,Kabupaten Wajo,Sulawesi Selatan,Sedang
Empang Pariwisata Isma putra,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
Air terjun batu karoppa,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Pirsah,Kabupaten Kolaka,Sulawesi Tenggara,Baik
Wisata Alam Rano Reindang Desa Leilem,Kabupaten Minahasa,Sulawesi Utara,Buruk
Bonto Rea Village,Kabupaten Maros,Sulawesi Selatan,Buruk
Air Terjun Lena,Kabupaten Luwu Utara,Sulawesi Selatan,Terbaik
Galangan kapal phinisi Haji Abdullah Hassan,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
Wisata Air Terjun Desa Gangga,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
Taman Rekreasi Datae,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Buruk
Rumah simpang tiga Petta worongnge,Kabupaten Wajo,Sulawesi Selatan,Terbaik
Benteng Fafontofure,Kabupaten Morowali,Sulawesi Tengah,Terbaik
SAMUDERA DIVE OPERATOR,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Pantai Leato Selatan,Kota Gorontalo,Gorontalo,Sedang
Gerbang utama Masjid Al alam,Kota Kendari,Sulawesi Tenggara,Baik
Hutan Kota Bonawang Kotamobagu,Kota Kotamobagu,Sulawesi Utara,Terbaik
Pantai Talowara,Kabupaten Kepulauan Talaud,Sulawesi Utara,Buruk
Tanggul Bantaran Sungai Malili,Kabupaten Luwu Timur,Sulawesi Selatan,Terbaik
Air Terjun,Kabupaten Morowali,Sulawesi Tengah,Buruk
Wisata Tanjung api,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Bendungan Desa Malonas Kec. Dampelas Kab. Donggala,Kabupaten Donggala,Sulawesi Tengah,Baik
Bendungan Bantimurung Bone-Bone Luwu utara,Kabupaten Luwu Utara,Sulawesi Selatan,Terbaik
Permandian Alam Lorong 2 Trans,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Bukit Indah Camp,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Wisata Bahari Pantai Seta Seta,Kabupaten Luwu Utara,Sulawesi Selatan,Sedang
Pantai Toola,Kabupaten Konawe,Sulawesi Tenggara,Sedang
Makakata Beach,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Pantai Laguna,Kabupaten Barru,Sulawesi Selatan,Terbaik
Wisata Sawah Bapak Tompo,Kota Makassar,Sulawesi Selatan,Buruk
Pantai Gudang Arang,Kabupaten Gorontalo Utara,Gorontalo,Buruk
Puncak Lima Jari,Kabupaten Bone,Sulawesi Selatan,Buruk
Wisata Alam Wai Batu,Kabupaten Polewali Mandar,Sulawesi Barat,Sedang
Kebun Raya Bulo-KRB Bukit Merdeka,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Muntea Camping Ground,Kabupaten Bantaeng,Sulawesi Selatan,Sedang
Dermaga Bone,Kabupaten Buton Utara,Sulawesi Tenggara,Buruk
PANTAI DELON,Kabupaten Kolaka Utara,Sulawesi Tenggara,Baik
Development Wisata Bahari Punagaya,Kabupaten Jeneponto,Sulawesi Selatan,Terbaik
Pulau Sanrobengi,Kabupaten Takalar,Sulawesi Selatan,Sedang
Tongkonan To'Barana,Kabupaten Toraja Utara,Sulawesi Selatan,Sedang
Air Terjun Salo Rumpala,Kabupaten Sinjai,Sulawesi Selatan,Terbaik
Waburi Park Gazebo,Kabupaten Buton,Sulawesi Tenggara,Sedang
Pantai Malanggong (Matatas),Kabupaten Banggai Kepulauan,Sulawesi Tengah,Terbaik
Pantai Rumbia,Kabupaten Minahasa,Sulawesi Utara,Terbaik
Pantai Wisata Molotabu,Kabupaten Bone Bolango,Gorontalo,Sedang
Taman Religius Nona-nonaE,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Buruk
Air Terjun Uedele,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Pantai Miringan Desa Biluhu Barat,Kabupaten Gorontalo,Gorontalo,Sedang
Dungusan Soputan,Kabupaten Minahasa,Sulawesi Utara,Baik
Mt. Soputan,Kabupaten Minahasa,Sulawesi Utara,Baik
Wisata Anteleng,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Wisata Permandian Air Loka,Kabupaten Buton,Sulawesi Tenggara,Sedang
Istana Malige,Kota Baubau,Sulawesi Tenggara,Terbaik
Pemandian Air Panas Rantekatoan,Kabupaten Mamasa,Sulawesi Barat,Buruk
Air Terjun Amarilis,Kabupaten Konawe,Sulawesi Tenggara,Sedang
Pongtorra - Puncak Tertinggi Lolai,Kabupaten Toraja Utara,Sulawesi Selatan,Baik
Pegunungan Pompangeo,Kabupaten Morowali Utara,Sulawesi Tengah,Baik
AGRA Wisata,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Bendungan Bettu,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
Gunung Potong,Kabupaten Minahasa Tenggara,Sulawesi Utara,Sedang
Tugu Jepang,Kota Bitung,Sulawesi Utara,Terbaik
Air Terjun Moramo,Kabupaten Konawe Selatan,Sulawesi Tenggara,Baik
Pantai Imbo,Kabupaten Poso,Sulawesi Tengah,Buruk
Pantai Impian,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Air terjun Kulung-Kulung,Kabupaten Minahasa Selatan,Sulawesi Utara,Sedang
Taman Buru Ko'mara,Kabupaten Takalar,Sulawesi Selatan,Sedang
Air Terjun Pandakes,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Wisata Alam sungai Karya Bone,Kabupaten Pohuwato,Gorontalo,Buruk
Puncak dunu,Kabupaten Gorontalo Utara,Gorontalo,Terbaik
Pantai Boalemo,Kabupaten Boalemo,Gorontalo,Buruk
Bukit Kaju Angin,Kota Palopo,Sulawesi Selatan,Buruk
air terjun taddolli,Kabupaten Sinjai,Sulawesi Selatan,Buruk
Gua Koo,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Gelora Wisata Desa Nepo,Kabupaten Wajo,Sulawesi Selatan,Buruk
Wisata Alam Wai Tiddo,Kabupaten Luwu,Sulawesi Selatan,Terbaik
Air Terjun Kelimbun Tumbohon,Kabupaten Minahasa Utara,Sulawesi Utara,Sedang
Pantai PELANGI,Kabupaten Parigi Moutong,Sulawesi Tengah,Sedang
Pemandian Air Panas Marowo,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Pantai Tanjung Bira,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Makam Raja Tadohe,Kota Kotamobagu,Sulawesi Utara,Terbaik
Pantai Seribu Kelapa,Kabupaten Pasangkayu,Sulawesi Barat,Terbaik
Pantai Pasir Putih Uebutung,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Gunung Ombo 1200 MDPL,Kabupaten Buton,Sulawesi Tenggara,Terbaik
"Tongkonan Banua Sura', Limbong Ba'lele",Kabupaten Toraja Utara,Sulawesi Selatan,Terbaik
Pantai Wajo,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Benteng Oranje,Kabupaten Gorontalo Utara,Gorontalo,Buruk
Agrowisata Qurratu'ain,Kota Kendari,Sulawesi Tenggara,Terbaik
Taman Nasional Taka Bonerate,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Terbaik
Pemandian Air Panas Beteleme,Kabupaten Morowali Utara,Sulawesi Tengah,Buruk
Polman Waterboom,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Rest Area Puncak Tikungan,Kabupaten Parigi Moutong,Sulawesi Tengah,Terbaik
RTH Bombana,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Nila Fishing Fun,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Tangga Pelangi Desa Puungkoilu,Kabupaten Morowali,Sulawesi Tengah,Buruk
Pasir putih/ Sivalenta bose,Kabupaten Donggala,Sulawesi Tengah,Baik
Hutan Lambusango,Kabupaten Buton,Sulawesi Tenggara,Buruk
Goa Berlian,Kabupaten Morowali,Sulawesi Tengah,Buruk
Pantai Palahidu,Kabupaten Wakatobi,Sulawesi Tenggara,Sedang
Rumah Hijau Denassa,Kabupaten Gowa,Sulawesi Selatan,Baik
Tamalaté Paleis van het Gowa Sultanaat - Istana Tamalate,Kabupaten Gowa,Sulawesi Selatan,Buruk
Bukit Alebo,Kabupaten Konawe Selatan,Sulawesi Tenggara,Buruk
Diana Waterpark,Kabupaten Barru,Sulawesi Selatan,Sedang
Air Terjun Ayus,Kabupaten Banggai,Sulawesi Tengah,Buruk
Lutim Landmark,Kabupaten Luwu Timur,Sulawesi Selatan,Baik
Kampung pelangi,Kota Kendari,Sulawesi Tenggara,Buruk
Pantai Kambahu,Kota Bitung,Sulawesi Utara,Sedang
Pantai Lantowua (small beach public),Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Pantai maya ria kasilampe,Kota Kendari,Sulawesi Tenggara,Baik
Bukit Awan Wasuponda,Kabupaten Luwu Timur,Sulawesi Selatan,Buruk
Air Terjun Sarambu,Kabupaten Luwu Utara,Sulawesi Selatan,Buruk
TAMAN KOTA,Kota Kotamobagu,Sulawesi Utara,Buruk
Pantai Ujung Indah,Kabupaten Barru,Sulawesi Selatan,Sedang
Bukit Punggung Kuda Talise,Kota Palu,Sulawesi Tengah,Terbaik
Air Terjun Maima,Kabupaten Sigi,Sulawesi Tengah,Buruk
LOSARI BEACH,Kabupaten Bolaang Mongondow,Sulawesi Utara,Terbaik
Pulau Wisata Lakkang,Kota Makassar,Sulawesi Selatan,Terbaik
Kuntung Tampusu,Kabupaten Minahasa,Sulawesi Utara,Sedang
Wisata Salo Rumpiae,Kabupaten Barru,Sulawesi Selatan,Buruk
Whale Shark Gorontalo,Kabupaten Bone Bolango,Gorontalo,Baik
Objek Wisata Gunung Batu Kapal,Kabupaten Parigi Moutong,Sulawesi Tengah,Terbaik
Batu Tikar Luwuk Kab. Banggai,Kabupaten Banggai,Sulawesi Tengah,Buruk
Kuburan Batu Lemo,Kabupaten Tana Toraja,Sulawesi Selatan,Baik
Puncak lurayya,Kabupaten Bulukumba,Sulawesi Selatan,Sedang
Pantai Pompole Tosale,Kabupaten Donggala,Sulawesi Tengah,Buruk
PUNCAK SATIRA,Kabupaten Mamuju Tengah,Sulawesi Barat,Terbaik
Monumen Teluk Lalong,Kabupaten Luwu,Sulawesi Selatan,Baik
Taman Wisata Karangria,Kota Manado,Sulawesi Utara,Buruk
Pantai Molino Tapuondau,Kabupaten Luwu Timur,Sulawesi Selatan,Baik
Air Terjun Desa Sauk,Kabupaten Bolaang Mongondow,Sulawesi Utara,Terbaik
Air Terjun Pangasintoli,Kabupaten Donggala,Sulawesi Tengah,Buruk
Desa Wisata Pinus Pa'tengko,Kabupaten Tana Toraja,Sulawesi Selatan,Sedang
Wisata Pantai,Kabupaten Kepulauan Talaud,Sulawesi Utara,Baik
Monumen Tuhan Yesus Raja Memberkati,Kabupaten Kepulauan Talaud,Sulawesi Utara,Terbaik
Permandian TompoE,Kabupaten Bone,Sulawesi Selatan,Baik
Taman Lasangkuru,Kabupaten Wajo,Sulawesi Selatan,Buruk
Bumi Perkemahan Ulunggolaka,Kabupaten Kolaka,Sulawesi Tenggara,Buruk
Goa moko,Kota Baubau,Sulawesi Tenggara,Buruk
"Forte Português do Século XVI em Amurang , Portugis",Kabupaten Minahasa Selatan,Sulawesi Utara,Terbaik
Pantai Puuesa,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Air terjun Toerama Toliba,Kabupaten Tojo Una-Una,Sulawesi Tengah,Terbaik
Bukit Savana Pulisan,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Pantai Tondowolio,Kabupaten Kolaka,Sulawesi Tenggara,Baik
Masjid Agung Ummul Quraa,Kabupaten Wajo,Sulawesi Selatan,Terbaik
Permandian Lambiria,Kabupaten Gowa,Sulawesi Selatan,Buruk
Pantai Bukit Tinggi,Kabupaten Minahasa,Sulawesi Utara,Sedang
Permandian Air Terjun Sangkona,Kabupaten Bombana,Sulawesi Tenggara,Buruk
Air Terjun Tammasapi,Kabupaten Mamuju,Sulawesi Barat,Sedang
Bukit Bulu Jaya,Kabupaten Jeneponto,Sulawesi Selatan,Baik
Pantai LOGPON,Kabupaten Gorontalo Utara,Gorontalo,Sedang
Perahu diatas batu,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Pantai pasir putih Malboro,Kabupaten Bulukumba,Sulawesi Selatan,Sedang
Bangkeng Buki,Kabupaten Bulukumba,Sulawesi Selatan,Buruk
Black Sand Beach(pantai pasir hitam),Kabupaten Buton,Sulawesi Tenggara,Buruk
Tanjung Bira,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Permandian Bahopombine,Kabupaten Morowali,Sulawesi Tengah,Buruk
Pantai Tanjung Toima,Kabupaten Banggai,Sulawesi Tengah,Buruk
Air Terjun Tapahan Telu,Kota Tomohon,Sulawesi Utara,Baik
Gunung Kambing Sea & City View Palopo,Kota Palopo,Sulawesi Selatan,Baik
TUGU I LOVE SITARO,Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara,Baik
Puncak Keletambal,Kabupaten Minahasa Tenggara,Sulawesi Utara,Buruk
MAROLAND,Kabupaten Barru,Sulawesi Selatan,Buruk
Laguna Mahumalalang,Kabupaten Konawe Utara,Sulawesi Tenggara,Sedang
Pantai Cappa Ujung,Kabupaten Bone,Sulawesi Selatan,Terbaik
Danau Hiuka,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Pantai Matano,Kabupaten Morowali,Sulawesi Tengah,Terbaik
Pantai To Bolo Lia,Kabupaten Donggala,Sulawesi Tengah,Sedang
Wisata Puncak Desa Towata (paralayang),Kabupaten Takalar,Sulawesi Selatan,Buruk
Wisata Gunung Kulon KotaNagaya,Kabupaten Parigi Moutong,Sulawesi Tengah,Terbaik
Bado White Sand Beach,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Buruk
Pantai Terapi Butugolu,Kabupaten Buol,Sulawesi Tengah,Terbaik
Bukit Kanari Dan Bukit MattiroWalie,Kabupaten Maros,Sulawesi Selatan,Buruk
Pantai Tueni,Kabupaten Parigi Moutong,Sulawesi Tengah,Buruk
Batu Miana,Kabupaten Mamuju Tengah,Sulawesi Barat,Buruk
Morowali Sampoddo,Kota Palopo,Sulawesi Selatan,Terbaik
Wisata Pantai Mangrove Ampallas,Kabupaten Mamuju,Sulawesi Barat,Buruk
Bulu Bohonglangi,Kabupaten Bone,Sulawesi Selatan,Sedang
Pantai Wisata Karang Lestari,Kabupaten Tojo Una-Una,Sulawesi Tengah,Buruk
Kawasan Wisata Attakae Kabupaten Wajo,Kabupaten Wajo,Sulawesi Selatan,Buruk
Museum Keraton Buton,Kabupaten Buton Selatan,Sulawesi Tenggara,Terbaik
Taman Motika,Kabupaten Wakatobi,Sulawesi Tenggara,Buruk
Hesan Lowita,Kabupaten Pinrang,Sulawesi Selatan,Baik
Erbol,Kabupaten Bantaeng,Sulawesi Selatan,Sedang
Gunung Awu,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Baik
Pantai Dato Majene,Kabupaten Majene,Sulawesi Barat,Terbaik
Taman wisata Bulu Tanda Sibedi,Kabupaten Sigi,Sulawesi Tengah,Sedang
Air terjun mata tumpang,Kabupaten Gowa,Sulawesi Selatan,Sedang
Ungkea Beach,Kabupaten Morowali Utara,Sulawesi Tengah,Buruk
Amphitheater Woloan,Kota Tomohon,Sulawesi Utara,Sedang
Tugu Khatulistiwa Sulawesi Tengah,Kabupaten Parigi Moutong,Sulawesi Tengah,Terbaik
Air Terjun Pialaa,Kabupaten Banggai,Sulawesi Tengah,Terbaik
PANTAI BOULEVARD MANADO,Kota Manado,Sulawesi Utara,Sedang
Lakadao Beach,Kabupaten Buton,Sulawesi Tenggara,Baik
Wisata Kebun Bunga OVA,Kota Palu,Sulawesi Tengah,Terbaik
SUN BAE MANADO,Kota Manado,Sulawesi Utara,Terbaik
Pantai lalape,Kabupaten Pohuwato,Gorontalo,Sedang
Kendari Beach,Kota Kendari,Sulawesi Tenggara,Terbaik
Air Terjun Baruttungnge,Kabupaten Sinjai,Sulawesi Selatan,Baik
Permandian Air Panas Alam Malimbong,Kabupaten Mamasa,Sulawesi Barat,Baik
Pantai Tumbu,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Gunung Nona,Kabupaten Enrekang,Sulawesi Selatan,Baik
UD. divo sejaterah🌽,Kota Kotamobagu,Sulawesi Utara,Buruk
Makam Raja Todilaling,Kabupaten Polewali Mandar,Sulawesi Barat,Baik
Pemandian Vatu Meleve Lakambula,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
Air Terjun Tujua,Kabupaten Maros,Sulawesi Selatan,Terbaik
"Bukit ASA, Babo Anjam, Tolitoli, Sulteng",Kabupaten Tolitoli,Sulawesi Tengah,Baik
Bunker Jepang,Kota Kendari,Sulawesi Tenggara,Buruk
Anjungan Cempae,Kota Parepare,Sulawesi Selatan,Terbaik
Air Terjun Sarassa,Kabupaten Enrekang,Sulawesi Selatan,Buruk
Museum Ne' Gandeng,Kabupaten Toraja Utara,Sulawesi Selatan,Sedang
Pantai Kuri Maros,Kabupaten Maros,Sulawesi Selatan,Terbaik
Wisata kolamku perumahan Ruby zamzam,Kota Parepare,Sulawesi Selatan,Sedang
Permandian Alam Ompo,Kabupaten Soppeng,Sulawesi Selatan,Sedang
Sarambu Ratte Balla,Kabupaten Tana Toraja,Sulawesi Selatan,Buruk
Dermaga Cinoki Nunu,Kabupaten Pasangkayu,Sulawesi Barat,Terbaik
Sungai Lajjoro,Kabupaten Bone,Sulawesi Selatan,Terbaik
Pantai Woka,Kabupaten Bolaang Mongondow Timur,Sulawesi Utara,Sedang
Air Terjun Pangorea Desa Sepakat,Kabupaten Luwu Utara,Sulawesi Selatan,Terbaik
Pantai Kayuangin,Kabupaten Kolaka,Sulawesi Tenggara,Buruk
PANTAI SIDATE PAKUWERU,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Pantai Munu,Kabupaten Majene,Sulawesi Barat,Sedang
Paket Wisata Manado- Manggis Travel,Kota Manado,Sulawesi Utara,Terbaik
Pulisan Beach,Kabupaten Minahasa Utara,Sulawesi Utara,Terbaik
Pantai Tanjung Tawatawaro,Kabupaten Konawe Selatan,Sulawesi Tenggara,Terbaik
Kasuso,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Masjid Agung Baiturrahim Gorontalo,Kota Gorontalo,Gorontalo,Terbaik
Pantai Topa Sulaa,Kota Baubau,Sulawesi Tenggara,Sedang
Air Terjun Sarambu,Kabupaten Luwu,Sulawesi Selatan,Buruk
Telaga Liku mebubu,Kabupaten Kolaka,Sulawesi Tenggara,Terbaik
Bugis Waterpark Adventure,Kota Makassar,Sulawesi Selatan,Sedang
Gunung Klabat,Kabupaten Minahasa Utara,Sulawesi Utara,Baik
PUNCAK UHAI SIBALI Bulo,Kabupaten Polewali Mandar,Sulawesi Barat,Buruk
Monumen Cinta Sejati Habibie-Ainun,Kota Parepare,Sulawesi Selatan,Terbaik
Pantai Baloyya,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Terbaik
Air Terjun Saluopa,Kabupaten Poso,Sulawesi Tengah,Terbaik
Dermaga Dulupi,Kabupaten Boalemo,Gorontalo,Buruk
Negeri Berselimut Awan,Kabupaten Sinjai,Sulawesi Selatan,Sedang
Wisata Pesona Tanjung Tihu,Kabupaten Bone Bolango,Gorontalo,Buruk
Tugu Perang Dunia II,Kota Manado,Sulawesi Utara,Terbaik
Air terjun pinosaula,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Buruk
Gunung Labokke,Kabupaten Luwu,Sulawesi Selatan,Baik
Tugu Trikora,Kota Bitung,Sulawesi Utara,Terbaik
Bukit Sofa,Kota Palu,Sulawesi Tengah,Buruk
Wisata Permandian Desa Pattallassang,Kabupaten Bantaeng,Sulawesi Selatan,Sedang
Kampoeng Koi,Kabupaten Morowali,Sulawesi Tengah,Buruk
Kawasan wisata Yakkima arung kalola,Kabupaten Wajo,Sulawesi Selatan,Buruk
Air Terjun Latta Pitu,Kabupaten Pinrang,Sulawesi Selatan,Sedang
Masjid Kubah 99,Kota Makassar,Sulawesi Selatan,Terbaik
Bendungan desa busato,Kabupaten Bolaang Mongondow Utara,Sulawesi Utara,Terbaik
Pantai Ujung Batu,Kabupaten Barru,Sulawesi Selatan,Sedang
Pantai Parentek,Kabupaten Minahasa,Sulawesi Utara,Sedang
Pantai Bone Buton Utara,Kabupaten Buton Utara,Sulawesi Tenggara,Terbaik
Permandian air terjun Moramo,Kabupaten Konawe Selatan,Sulawesi Tenggara,Sedang
Pantai Mega Minanga,Kabupaten Minahasa Tenggara,Sulawesi Utara,Sedang
Lasonrai Beach,Kabupaten Barru,Sulawesi Selatan,Buruk
Pagoda Ekayana,Kota Tomohon,Sulawesi Utara,Baik
Puncak Nondooto,Kabupaten Konawe Utara,Sulawesi Tenggara,Terbaik
Ekowisata Mangrove Lirang,Kota Bitung,Sulawesi Utara,Buruk
Monumen Nani Wartabone,Kabupaten Gorontalo,Gorontalo,Terbaik
Taman Kota Donggala,Kabupaten Donggala,Sulawesi Tengah,Buruk
Takae Highland,Kabupaten Soppeng,Sulawesi Selatan,Baik
Air Terjun MATARUTUNG,Kabupaten Morowali Utara,Sulawesi Tengah,Buruk
Bukit Teletubies Buton,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Puncak bollangi,Kabupaten Gowa,Sulawesi Selatan,Terbaik
Air Terjun Akar Darah,Kabupaten Banggai,Sulawesi Tengah,Buruk
PANTAI INDAH MELONGUANE,Kabupaten Kepulauan Talaud,Sulawesi Utara,Buruk
Pantai Enu,Kabupaten Donggala,Sulawesi Tengah,Terbaik
Pasambaya river side,Kabupaten Gorontalo,Gorontalo,Sedang
Goa Kolam Renang,Kabupaten Konawe Utara,Sulawesi Tenggara,Buruk
Puncak Mamuju(Kelapa Tujuh),Kabupaten Mamuju,Sulawesi Barat,Terbaik
Destinasi Wisata Bukit Sasayaban,Kabupaten Minahasa Selatan,Sulawesi Utara,Baik
Pantai Poa,Kabupaten Kepulauan Sangihe,Sulawesi Utara,Sedang
Air Terjun Takaan,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
SELFIE JEMBATAN AIR TERJUN,Kabupaten Bantaeng,Sulawesi Selatan,Baik
Air Terjun Sarambu Salu,Kabupaten Toraja Utara,Sulawesi Selatan,Buruk
Danau Tempe Kab.Wajo,Kabupaten Wajo,Sulawesi Selatan,Terbaik
pulau bintang tolala,Kabupaten Kolaka Utara,Sulawesi Tenggara,Buruk
Air Terjun Kogawuna,Kota Baubau,Sulawesi Tenggara,Baik
Agro Wisata Bonto Jonga,Kabupaten Bantaeng,Sulawesi Selatan,Baik
Wisata Alam Djagaan,Kabupaten Banggai,Sulawesi Tengah,Buruk
Pantai Kasambang,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Air Terjun LENSO,Kabupaten Minahasa Utara,Sulawesi Utara,Baik
PANTAI MANAKARRA,Kabupaten Mamuju,Sulawesi Barat,Terbaik
Taman Batu Rammang-Rammang,Kabupaten Maros,Sulawesi Selatan,Terbaik
Air terjun baruttung,Kabupaten Barru,Sulawesi Selatan,Terbaik
Pantai Panrangluhu,Kabupaten Bulukumba,Sulawesi Selatan,Terbaik
Pantai Batauga,Kabupaten Buton,Sulawesi Tenggara,Baik
Green Topejawa Coastal,Kabupaten Takalar,Sulawesi Selatan,Baik
Bendungan Kalola,Kabupaten Wajo,Sulawesi Selatan,Buruk
Bukit Pinus (bupin),Kabupaten Bone Bolango,Gorontalo,Terbaik
Cagar Alam Karaengta Maros,Kabupaten Maros,Sulawesi Selatan,Sedang
Moncong Peda,Kabupaten Takalar,Sulawesi Selatan,Baik
Ombro,Kabupaten Kolaka Utara,Sulawesi Tenggara,Terbaik
JOJO GARDEN KONDA,Kabupaten Konawe Selatan,Sulawesi Tenggara,Terbaik
Lembah Lambusango,Kabupaten Buton,Sulawesi Tenggara,Sedang
Monumen Paccekke,Kabupaten Barru,Sulawesi Selatan,Terbaik
Mangrove Ambelang,Kabupaten Banggai Kepulauan,Sulawesi Tengah,Sedang
Teluk Lalong,Kabupaten Banggai Laut,Sulawesi Tengah,Buruk
Bukit Tangga Baly,Kabupaten Bone Bolango,Gorontalo,Buruk
Telaga Biru Ere Manerang,Kabupaten Bulukumba,Sulawesi Selatan,Sedang
Air Terjun Tolei,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Pantai Songkur AMURANG,Kabupaten Minahasa Selatan,Sulawesi Utara,Buruk
Taman Arkeologi Leang Leang,Kabupaten Maros,Sulawesi Selatan,Terbaik
Limbong Kambellun,Kabupaten Polewali Mandar,Sulawesi Barat,Terbaik
Pantai Bolihutuo,Kabupaten Boalemo,Gorontalo,Sedang
Pantai Kuri Indah,Kabupaten Maros,Sulawesi Selatan,Buruk
Air Terjun Ampa Doap,Kabupaten Kepulauan Talaud,Sulawesi Utara,Buruk
Village Cantik Selayar,Kabupaten Kepulauan Selayar,Sulawesi Selatan,Baik
PINTU GERBANG PERMANDIAN AIR PANAS LEJJA,Kabupaten Soppeng,Sulawesi Selatan,Buruk
Bone Marangi,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Basa island - Bombana,Kabupaten Bombana,Sulawesi Tenggara,Terbaik
LYWANZA HILLS,Kabupaten Mamuju,Sulawesi Barat,Buruk
Gerbang Batas Kota Makassar - Kabupaten Gowa,Kota Makassar,Sulawesi Selatan,Baik
Pantai Desa Babana,Kabupaten Luwu,Sulawesi Selatan,Baik
Bukit Amdn Poso,Kabupaten Poso,Sulawesi Tengah,Sedang
Danau Tambing,Kabupaten Poso,Sulawesi Tengah,Baik
Pulau Wisata Bokori,Kabupaten Konawe,Sulawesi Tenggara,Terbaik
Monumen Tantangan Ewako,Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan,Buruk
Kawasan Wisata Tahura Kapopo Ngatabaru,Kabupaten Sigi,Sulawesi Tengah,Buruk
Air Terjun Raptors,Kabupaten Banggai,Sulawesi Tengah,Terbaik
Koguna Beach,Kabupaten Buton,Sulawesi Tenggara,Buruk
Air Terjun Bale,Kabupaten Donggala,Sulawesi Tengah,Buruk
Wisata Pemancingan & Kuliner AjengMart,Kabupaten Konawe Selatan,Sulawesi Tenggara,Baik
Monumen Pendaratan Islam Lapandoso,Kabupaten Luwu,Sulawesi Selatan,Terbaik
Pantai Singku Desa Lowu-Lowu,Kabupaten Buton,Sulawesi Tenggara,Terbaik
Vihara Girinaga,Kota Makassar,Sulawesi Selatan,Terbaik
Jl taman gunung tumpa,Kota Manado,Sulawesi Utara,Baik
Air Terjun Dendengan,Kabupaten Banggai,Sulawesi Tengah,Buruk
Taman Wisata Puncak Bila Sidrap,Kabupaten Sidenreng Rappang,Sulawesi Selatan,Buruk
Lindu Lake,Kabupaten Sigi,Sulawesi Tengah,Baik
Air Terjun Milango Lo Jini,Kabupaten Bone Bolango,Gorontalo,Sedang
