place_id,nama_pengulas,rating,waktu_ulasan,teks_ulasan
ChIJqT4iSqHpky0RKXyR5A7BxFk,spiciriana,5.0,3 bulan lalu,Htm 20k/orng +5k untuk motor. Tidak bisa di deskpripsikan bagus banget walaupun ramai. Sayang tidak bisa foto ditengah waktu itu karna banyak bnget orng
ChIJqT4iSqHpky0RKXyR5A7BxFk,obed nego,5.0,3 bulan lalu,Tempatnya bagus dan cocok untuk menikmati rumah Tongkonan. Kuburan batu ditempat ini tidak sebesar yang ada DI Londa. Sepanjang jalan bnyk toko2 survenir. Saya merekomendasikan tempat ini karna budaya dan spot foto rumah Tongkonan yg bagus.
ChIJqT4iSqHpky0RKXyR5A7BxFk,riena rie,5.0,5 bulan lalu,"Salah satu tempat bersejarah di Toraja yang wajib dikunjungi. Tempat yang menyimpan begitu banyak misteri, adat istiadat yang sudah berlangsung ratusan tahun. Tengkorak dapat kita lihat jika naik ke atas, kita juga akan masuk ke dalam goa yang diharuskan menggunakan tour gide agar bisa menjelaskan tentang goanya. Goa dengan stalaktit aktif sehingga licin dan perlu penerangan. Sangat tertarik dengan adat dan budaya Toraja lebih jauh saat berkunjung ke sini."
ChIJqT4iSqHpky0RKXyR5A7BxFk,Hasan Basri,5.0,4 bulan lalu,"Ikon wisata di Toraja, biasanya para pelancong yang dari luar Toraja akan berkunjung ke tempat ini..

Lingkungan yang rindang, udara yang sejuk, pemandangan yang sangat memanjakan mata.. bangunan yang tertata rapi juga sambutan masyarakat setempat yang ramah..

Selain kita bisa melihat rumah tongkonan, juga ada beberapa makam masyarakat Toraja yang ditempatkan pada Goa-goa yang ada di bagian belakang..

Tersedia akses jalan dan tanggah bagi para pengunjung yang ingin ke atas, yah selain wisata juga menghilangkan rasa penasaran akan tempat ini..

Tersedia juga beberapa kios yang menjual pernak-pernik serta oleh-oleh khas Toraja.. cocok untuk yang suka belanja oleh-oleh khas Toraja."
ChIJqT4iSqHpky0RKXyR5A7BxFk,dijay brian,5.0,4 bulan lalu,"Pengalaman yang luar biasa dapat melihat tradisi unik pemakaman, untuk bisa  masuk ke Goa harus dipandu oleh guide dengan menyewa lampu seharga 50k dan tips"
ChIJqT4iSqHpky0RKXyR5A7BxFk,Ridwan Hidayat,5.0,3 bulan lalu,"Selama menyiapkan rencana perjalanan ke Toraja, salah satu tujuan utamanya adalah Kete' Kesu ini
Pas datang ternyata melebihi ekspektasi, tadinya cuma tau jejeran Rumah Tongkonan unik, tapi ternyata ada pemakaman tua diatas tebing juga
What an amazing journey"
ChIJqT4iSqHpky0RKXyR5A7BxFk,Azisah Satriani,4.0,2 bulan lalu,"Suasana masih sangat asri. Terdapat kompleks tongkonan yang menjadi destinasi wisata untuk berfoto. Ada juga museum dan pemakaman. Di area pemakaman, ada tangga untuk melihat beberapa kuburan londa. Mirip di Gua Londa tapi versi lebih sedikit. Sepanjang jalan ada penjual souvenir dengan harga terjangkau untuk oleh-oleh"
ChIJqT4iSqHpky0RKXyR5A7BxFk,Ince Rahmi,5.0,4 bulan lalu,"Wajib Dikunjungi! Ke'te' Kesu' adalah gambaran lengkap budaya Toraja, dari arsitektur Tongkonan yang megah hingga makam batu yang bersejarah.😍🤗"
ChIJXeflmUcreTIRThXj-qplVcA,mulya uya,5.0,Diedit 9 bulan lalu,"Menara Keagungan Limboto yang disebut copyan menara Eiffel di Paris,Prancis ini adalah menara terindah di Gorontalo, recommended banget dikunjungi di malam hari karena menara ini memiliki lampu yang berwarna warni, menara juga bisa dinaiki sampai puncak menara dan disini kita bisa menikmati pemandangan kota Gorontalo dari atas puncak menara, oiya jangan khawatir disekitar menara juga terdapat masjid dan banyak pedagang yang berjualan"
ChIJXeflmUcreTIRThXj-qplVcA,loran Sinurat,5.0,10 bulan lalu,"Tanpa ribet harus ke Paris, cukup low budget aja ada di Gorontalo kalo mau ngopi santai di bawah ada tdt kopi serasa lagi di jogja😁"
